feature_name,feature_family,description,hypothesis,data_source,temporal_scope,spatial_scope,leakage_risk,current_status,last_tested_step,accepted_use,known_limitations,next_action,disease_process_represented,epidemiological_role,biological_plausibility,expected_direction,caveats
temperature_mean,core_weather,Weekly mean temperature from updated hourly weather,Temperature affects rice blast infection suitability,updated weather_hourly,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,May be too coarse for microclimate variation,Keep in core feature manifest,temperature / humidity / rainfall suitability,weather suitability,high,positive or threshold/nonlinear within suitable range,province-level weather may miss local microclimate
humidity_mean,core_weather,Weekly mean relative humidity from updated hourly weather,High humidity supports infection and leaf wetness persistence,updated weather_hourly,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Province-level weather may miss local humidity pockets,Keep in core feature manifest,temperature / humidity / rainfall suitability,weather suitability,high,positive or threshold/nonlinear within suitable range,province-level weather may miss local microclimate
rainfall_sum,core_weather,Weekly precipitation total,Rainfall and wetness can support infection but may be noisy,updated weather_hourly,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Rainfall alone is not a stable national predictor,Keep in core feature manifest,temperature / humidity / rainfall suitability,weather suitability,high,positive or threshold/nonlinear within suitable range,province-level weather may miss local microclimate
leaf_wet_hours,leaf_wetness,Weekly proxy count of wet/high-humidity hours,Leaf wetness is biologically tied to blast infection suitability,updated weather_hourly,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Proxy not direct sensor measurement,Keep and document proxy assumptions,infection moisture window,moisture suitability / infection opportunity,high,positive up to biologically plausible range,proxy for leaf wetness; not direct sensor measurement
leaf_wet_ratio,leaf_wetness,Share of weekly hours classified as leaf-wet proxy,Higher wet-hour proportion should increase infection opportunity,updated weather_hourly,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Depends on threshold definition,Keep and monitor stability,infection moisture window,moisture suitability / infection opportunity,high,positive up to biologically plausible wetness range,"leaf wetness is a proxy, not direct sensor measurement"
risk_score,mechanistic_weather,Explainable weather-risk score from temperature humidity rainfall and wetness,Mechanistic weather suitability contributes to outbreak risk,updated weather_hourly,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Weather-only has false positives,Keep as mechanistic baseline component,infection suitability,mechanistic weather-risk suitability,high,positive with threshold/nonlinear behavior,weather-only risk can overpredict without host/inoculum context
rolling_2w_risk,temporal_accumulation,Two-week accumulated weather risk,Short-term accumulation captures infection memory,updated sequence features,rolling weekly,province,low,accepted_core,Step 9.10A,core_no_BUS,Longer memory not consistently better,Keep short-memory rolling features,temporal accumulation,short-term epidemic memory / accumulated exposure,high,positive for recent accumulation,longer memory may dilute signal
rolling_3w_risk,temporal_accumulation,Three-week accumulated weather risk,Recent weather accumulation may support disease development,updated sequence features,rolling weekly,province,low,accepted_core,Step 9.9,core_no_BUS,May duplicate host-weighted rolling features,Keep with redundancy checks,temporal accumulation,short-term epidemic memory / accumulated exposure,high,positive for recent accumulation,longer memory may dilute signal
susceptibility_score,host_susceptibility,Province-month weighted host susceptibility from POV variety ratios,Host composition affects outbreak susceptibility,updated pov_rice_monthly,monthly joined to weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Current weights are conservative v0,Keep and refine only with evidence,host susceptibility,host vulnerability,high,positive,conservative susceptibility v0 weights
host_weighted_risk,host_susceptibility,Weather risk weighted by susceptibility score,Weather risk should matter more where susceptible varieties dominate,updated weather plus POV,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Depends on conservative susceptibility weights,Keep as core host-weather interaction,host susceptibility,host vulnerability / susceptible variety composition,high,positive,weights are conservative v0 and should be updated only with evidence
host_weighted_rolling_2w,host_temporal,Two-week rolling host-weighted weather risk,Short-term host-weather exposure supports infection pressure,updated sequence features,rolling weekly,province,low,accepted_core,Step 9.9,core_no_BUS,May overlap with rolling risk,Keep with feature importance monitoring,host susceptibility plus temporal accumulation,host-weighted recent exposure,high,positive,may overlap with rolling weather risk
host_weighted_rolling_3w,host_temporal,Three-week rolling host-weighted weather risk,Accumulated host-weather exposure may increase outbreak chance,updated sequence features,rolling weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Longer memory may dilute signal,Keep as core but monitor,host susceptibility plus temporal accumulation,host-weighted recent exposure,high,positive,may overlap with rolling weather risk
neighbor_prevweek_risk,spatial_pressure,Mean previous-week risk from nearby geographic neighbors,Neighboring environmental pressure can represent spatial epidemic context,updated spatial features,previous week,province-neighbor,low,accepted_core,Step 9.9,core_no_BUS,Distance-only neighbors are imperfect,Keep until analog/spatial alternatives are governed,inoculum pressure,nearby outbreak or environmental source pressure,high,positive when using historical weeks only,label-derived features require strict temporal leakage control
neighbor_prevweek_blast,spatial_pressure,Previous-week blast signal from geographic neighbors,Nearby outbreaks may indicate local spread pressure,corrected outbreak labels,previous week,province-neighbor,medium,accepted_core,Step 9.9,core_no_BUS,Must use only historical labels; weak for North 2022,Keep with strict leakage checks,inoculum pressure,nearby source pressure using historical labels only,high,positive,must use previous week only to avoid leakage
regional_neighbor_pressure_2w,regional_pressure,Two-week regional outbreak pressure,Regional outbreak accumulation captures heterogeneous epidemic behavior,corrected outbreak labels,rolling weekly,region,medium,accepted_core,Step 9.9,core_no_BUS,Depends on observed labels and region definition,Keep with leakage-safe construction,regional outbreak pressure,regional epidemic context / inoculum pressure,high,positive,region aggregation may hide province-specific behavior
regional_neighbor_pressure_3w,regional_pressure,Three-week regional outbreak pressure,Regional pressure is a strong interpretable signal,corrected outbreak labels,rolling weekly,region,medium,accepted_core,Step 9.9,core_no_BUS,May dominate regionally concentrated years,Keep and monitor regional behavior,regional outbreak pressure,regional epidemic context / inoculum pressure,high,positive,region aggregation may hide province-specific behavior
regional_host_pressure,regional_pressure,Regional host susceptibility pressure,Regional host composition can shape epidemic susceptibility,updated POV features,weekly,region,low,accepted_core,Step 9.9,core_no_BUS,Region aggregation may hide province detail,Keep as regional contextual feature,regional outbreak pressure,regional epidemic context / inoculum pressure,high,positive,region aggregation may hide province-specific behavior
wind_aligned_neighbor_blast,wind_alignment,Directional alignment between wind and infected neighboring provinces,Wind-mediated dispersal may matter when direction aligns with source-to-target flow,updated weather plus corrected labels,weekly,province-neighbor,medium,accepted_core,Step 9.9,core_no_BUS,Signal is regional and not universally strong,Keep as explainable spatial-wind feature,directional dispersal hypothesis,wind-mediated source-to-target pressure,medium-high,positive but regionally heterogeneous,not proof of direct dispersal
regional_wind_alignment_frequency,wind_alignment,Regional frequency of wind-aligned neighbor outbreak pressure,Directional spread may be regionally heterogeneous,updated wind alignment features,weekly,region,medium,accepted_core,Step 9.9,core_no_BUS,May reflect Northeast more than North,Keep with regional interpretation,wind-mediated dispersal hypothesis,directional source-to-target pressure,medium-high,positive but regionally heterogeneous,association is not proof of direct spore dispersal
spore_window_leaf_wet_hours,spore_window,Leaf-wet proxy during likely spore release window,Biological release windows may better capture relevant wetness,updated hourly weather,weekly,province,low,accepted_core,Step 9.9,core_no_BUS,Window is literature-informed but not locally calibrated,Keep as biologically informed feature,sporulation / early morning dew hypothesis,spore-release-window moisture context,medium-high,positive if early wetness supports sporulation/release,spore-release window is literature-informed and exploratory
spore_window_humid_wind_hours,spore_window,Humid wind hours during spore-release window,Spore release and dispersal may require humid windy conditions,updated hourly weather,weekly,province,low,candidate_only,Step 9.1B,candidate_feature,Exploratory and not yet decisive,Retain for candidate analysis,sporulation timing / spore-release window,early-morning dew and humid wind context,medium-high,positive if window captures biologically relevant moisture,window is literature-informed and not locally calibrated
avgbus_mean,BUS_reference,Weekly mean BUS external mechanistic index,BUS benchmarks external weather-risk suitability,bus_value_daily,weekly,selected provinces,low,accepted_reference,Step 9.7B,external_reference,Limited historical and province coverage; not national dependency,Use only for BUS benchmark/reference,external mechanistic disease-risk reference,BUS weather-risk benchmark,high,positive above critical threshold,coverage-limited; not target label
avgbus_max,BUS_reference,Weekly maximum average BUS,BUS critical weeks may align with outbreak risk,bus_value_daily,weekly,selected provinces,low,accepted_reference,Step 9.7B,external_reference,Coverage limited mostly 2020-2021 selected provinces,Keep out of core_no_BUS,external mechanistic disease-risk reference,BUS weather-risk benchmark,high,positive above critical threshold,coverage-limited; not target label
bus_critical_any,BUS_reference,Any BUS critical day using threshold >= 2.25,Critical BUS indicates mechanistic disease risk,bus_value_daily,weekly,selected provinces,low,accepted_reference,Step 9.7B,external_reference,Do not use as target; coverage-limited,Use for benchmarking only,external mechanistic disease-risk reference,BUS critical threshold benchmark,high,positive,coverage-limited; not target label
analog_prevweek_blast,analog_history,Previous-week outbreak signal from analog provinces,Analog provinces may share epidemic behavior beyond geography,province analog features,previous week,analog provinces,medium,accepted_regional,Step 9.13,Northeast monitoring / candidate governance feature,Improves Northeast but not North; increases FP,Keep as regional monitoring candidate,latent outbreak-regime memory,epidemiological similarity / historical outbreak tendency,medium-high,positive,analog similarity is not direct dispersal and is regionally useful mainly in Northeast
analog_outbreak_frequency_train,analog_history,Train-year outbreak frequency among analog provinces,Historical analog outbreak tendency can improve recall,province analog profiles,static from train years,province analog,medium,accepted_regional,Step 9.13,Northeast monitoring / candidate governance feature,Must be constructed from train years only,Keep as governed candidate,latent outbreak-regime memory,analog historical outbreak tendency,medium-high,positive,constructed from train years only; not direct dispersal
analog_prevweek_risk,analog_pressure,Previous-week risk from analog provinces,Analog environmental pressure may capture non-geographic similarity,province analog features,previous week,analog provinces,low,candidate_only,Step 9.12,candidate_feature,Weaker than analog history; not default,Retain for controlled experiments,analog environmental or host pressure,non-geographic similarity pressure,medium,positive if analog states reflect shared disease ecology,weaker than analog history and not default
analog_leaf_wet_pressure,analog_pressure,Leaf wetness pressure from analog provinces,Analog moisture may reveal shared epidemiological states,province analog features,weekly,analog provinces,low,candidate_only,Step 9.12,candidate_feature,Does not solve North and not enough alone,Keep as candidate only,analog environmental or host pressure,non-geographic similarity pressure,medium,positive if analog states reflect shared disease ecology,weaker than analog history and not default
analog_host_pressure,analog_pressure,Host pressure from analog provinces,Analog host composition may support outbreak similarity,province analog features,weekly,analog provinces,low,candidate_only,Step 9.12,candidate_feature,Weak to moderate signal,Keep as candidate only,analog environmental or host pressure,non-geographic similarity pressure,medium,positive if analog states reflect shared disease ecology,weaker than analog history and not default
all_analog_feature_set,analog_expansion,All analog history and pressure features combined,Combined analog features may improve ranking and recall,province analog features,weekly,analog provinces,medium,candidate_only,Step 9.13,ranking comparator / dashboard candidate,Can increase false positives; not default,Use for RF ranking comparator only,combined analog regime and pressure signals,ranking / dashboard candidate,medium,positive but may inflate alerts,can increase false positives
elevation_mean,terrain_static,Mean province elevation in meters,Elevation may affect microclimate dew humidity and North failures,external DEM/GIS needed,static,province,low,future_data_needed,Step 9.14,missing-data candidate,Not available in current weather data,Activate Data Scout before integration,microclimate / dew / airflow hypothesis,static terrain context,medium-high,regional or nonlinear,future data needed before validation
